year/month,100K,100K,500K,500K,1M,1M,10M,10M
2023-01,13.0,"dexo, daolaunch, plc-ultima, metoshi, grove, spartacus, eth3s, bitconey, ",4.0,"dexo, plc-ultima, metoshi, ",3.0,"dexo, plc-ultima, ",0.0,
2023-02,11.0,"galaxy-arena, pomo, ecs-gold, point-coin, stabilize, defigram, shibadoge, turk-shiba, helpkidz-coin, iguverse, qanplatform, ",6.0,"pomo, ecs-gold, defigram, helpkidz-coin, iguverse, qanplatform, ",4.0,"defigram, helpkidz-coin, iguverse, qanplatform, ",2.0,"helpkidz-coin, iguverse, "
2023-03,15.0,"tribe-token, zedxion, pomo, huobi-btc, tolar, wrapped-huobi-token, uramaki, huobi-ethereum, bitcoinbam, shibadoge, monopoly-millionaire-control, spartacus, mops, ",8.0,"pomo, huobi-btc, wrapped-huobi-token, uramaki, huobi-ethereum, monopoly-millionaire-control, spartacus, mops, ",3.0,"wrapped-huobi-token, monopoly-millionaire-control, mops, ",0.0,
2023-04,20.0,"vectorium, reapchain, usdx, tolar, nano-dogecoin, fountain-protocol, rari-governance-token, spartacus, bmchain-token, pepe-the-frog, creaticles, digital-trip-advisor, ordinal-doge, ",7.0,"reapchain, usdx, rari-governance-token, spartacus, digital-trip-advisor, ordinal-doge, ",4.0,"reapchain, rari-governance-token, spartacus, ordinal-doge, ",1.0,"reapchain, "
2023-05,25.0,"psyop, converter-finance, sci-coin-2, yocoinyoco, kiboshib, pi-network-iou, milady-meme-coin, bogdanoff, pepedex, bedlingtonterriertoken, quick-transfer-coin-plus, usd-zee, apeswap-finance, spartacus, cope-coin, intelly, tokenplace, kitty-inu, dream-machine-token, green-shiba-inu, rendoge, ",8.0,"psyop, kiboshib, milady-meme-coin, bogdanoff, pepedex, spartacus, cope-coin, dream-machine-token, ",6.0,"psyop, kiboshib, milady-meme-coin, bogdanoff, cope-coin, dream-machine-token, ",2.0,"psyop, milady-meme-coin, "
2023-06,20.0,"pepebrc, bscex, pomo, centrality, catgirl-optimus, bedlingtonterriertoken, the-three-kingdoms, spartacus, shinjarium, grimace-coin, the-world-state, rimaunangis, ",6.0,"bscex, catgirl-optimus, bedlingtonterriertoken, shinjarium, ",2.0,"bscex, bedlingtonterriertoken, ",1.0,"bedlingtonterriertoken, "
2023-07,18.0,"scooby, wen-token, loyalty-labs, ai-x, magic-cube, cacao, universal-basic-income, bedlingtonterriertoken, oxbitcoin, punk-vault-nftx, stride-staked-atom, energi, magic-shoes, paal-ai, lookscoin, bart-simpson-coin, crosswallet, ",10.0,"scooby, loyalty-labs, ai-x, magic-cube, cacao, universal-basic-income, oxbitcoin, energi, paal-ai, crosswallet, ",6.0,"scooby, loyalty-labs, ai-x, cacao, oxbitcoin, crosswallet, ",1.0,"cacao, "
2023-08,10.0,"yocoinyoco, nft-stars, geke, coinhub, wolf-game-wool, toshi, bobo, messier, haram, feeder-finance, ",4.0,"yocoinyoco, geke, coinhub, haram, ",1.0,"yocoinyoco, ",0.0,
2023-09,19.0,"solarx, microcredittoken, releap, vrjam, emoticoin, amber-phantom-butterfly, pomerium, degate, chaintools, meme-inu, antis-inu, anon, wolf-game-wool, rangers-protocol-gas, refinable, arkadiko-usda, spotted-turtle, ",5.0,"solarx, amber-phantom-butterfly, spotted-turtle, ",5.0,"solarx, amber-phantom-butterfly, spotted-turtle, ",1.0,"spotted-turtle, "
2023-10,15.0,"yocoinyoco, ozonechain, decubate, amber-phantom-butterfly, felix, prisma-mkusd, rangers-protocol-gas, kenda, spotted-turtle, ",4.0,"yocoinyoco, decubate, amber-phantom-butterfly, spotted-turtle, ",2.0,"yocoinyoco, decubate, ",0.0,
MEAN,8.304878048780488,,4.378048780487805,,2.7439024390243905,,0.5365853658536586,
MEDIAN,6.5,,3.0,,2.0,,0.0,
